l_rdl,w_rdl,t_rdl,h_tsv,p_rdl,R1,R2,R3,L1,L2,L3,Cox,Csi,Rsi,rmse
360.69,29.69,3.29,64.88,56.97,562.504676,36726.92311,1450.975249,816.7913062,18782.5339,29.69132258,171.7466072,105.2827488,0.062520605,0.003535607
417.7,13.31,2.5,81.77,43.5,1360.175144,14019.39227,1875.495964,1002.281792,290.9771869,36.31312085,93.44253678,97.86973557,0.062769345,0.001326778
485.28,29.08,3.68,62.92,56.4,494.9536784,15587.83143,1298.028512,776.569621,548.8732892,29.59139297,171.2529857,104.318583,0.062781381,0.003730797
418.45,24.98,4.7,62.19,53.48,450.4895463,41568.72127,1468.961765,800.3673176,2164.065817,36.27802099,151.732453,103.1760216,0.06292165,0.002672034
315.38,17.57,3.1,56.14,44.5,844.8451263,25975.06186,2026.888592,911.82029,437353.6556,35.55505199,114.6573722,102.87489,0.062973877,0.002013525
590.67,20.41,3.72,51.77,46.14,600.384944,67879.69621,1664.635179,794.9777974,29417.86229,34.5192077,130.0756855,103.047266,0.06310147,0.002594137
281.11,25.61,2.72,72.35,55.65,823.2421196,8993.286438,1569.432478,927.7755726,1097.561176,26.9849906,151.4447203,101.9461897,0.063134135,0.002459159
132.03,15.18,4.37,98.44,49.82,890.698695,3136.455597,2773.838302,1171.977601,375.1125884,32.89284141,103.9050036,101.5269065,0.063195595,0.00151281
594.39,21.88,3.7,58.19,49.45,590.5224199,13484.97035,1507.600402,805.3290499,1029.85596,32.00410731,137.2698448,101.4295829,0.063312794,0.002732426
588.78,12.54,3.76,92.89,45.25,853.3933726,58404.56023,2240.04735,962.4664344,26615.25262,41.03908623,91.43478213,95.85833124,0.063387175,0.001375424
361.05,22.51,3.33,79.46,54.36,650.3403536,35109.62875,1640.092241,914.2411372,7065.009582,31.47025602,137.3913388,99.26130891,0.063398328,0.002329849
280.08,17.09,3.4,56.21,44.84,811.44735,33101.06711,2135.351573,933.6088877,475.0246112,36.74364305,111.8410597,102.1398584,0.063604358,0.001963754
564.61,12.64,2.95,79.12,43.84,1114.131062,36887.39155,2140.591489,973.7809256,958.1336499,38.62178395,91.478173,96.20687758,0.063616375,0.00144572
499.79,20.76,2.29,86.74,53.22,1088.719081,7607.45654,1119.863812,933.9371744,89.01493841,31.29499403,128.3625612,96.36763626,0.063633166,0.002208847
344.1,10.55,3.22,70.01,40.9,1179.466857,58024.17232,2756.042219,1036.452564,18160.61165,40.99813027,80.56084147,97.96099215,0.063694601,0.001182967
213.08,29.67,4.48,64.58,59.45,521.8353412,3618.197563,1618.647629,892.7538672,246.5836525,32.95252702,173.070494,105.7375827,0.063938818,0.003185919
573.62,29.08,2.03,64.12,57.56,1162.594975,2871.328768,507.1570753,820.5425813,53.32769528,27.38483285,170.2604517,100.4809661,0.06397966,0.003901127
204.89,27.74,2.21,62.81,55.94,1038.42832,15308.70851,1398.17937,979.2841969,182.90872,31.27744763,160.8535937,104.6205607,0.064010698,0.003360938
289.38,21.42,4.44,75.77,54.17,521.4509762,10210.87333,1768.495991,926.3822772,478.1341251,36.93543156,133.6515972,99.79216914,0.06404055,0.004276563
333.73,18.8,2.65,81.57,51.25,963.4728057,27231.90096,1696.316801,983.7650021,164.5477399,33.57102462,119.7455734,97.20490497,0.064060642,0.001747473
311.89,10.28,2.86,70.63,40.92,1430.099527,14899.04608,2901.795157,1073.363893,1819.996392,35.24675422,78.56730678,96.99432184,0.064075508,0.001569194
529.25,17.9,2.94,99.17,52.36,891.4315326,10487.54149,1583.495494,952.8695453,708.2788171,30.49153481,115.9782625,94.53323367,0.064220692,0.001944214
165.68,22.6,2.99,65.32,52.9,849.9964032,43040.86015,2030.734154,1051.947892,903.5358369,35.03770632,137.5432019,103.3271377,0.064220917,0.002462869
183.82,22.57,2.28,56.02,49.77,1263.813301,7167.771367,1550.546541,1012.052063,91.28948342,32.71072855,136.4747608,104.5081323,0.064255569,0.002823984
