l_rdl,w_rdl,t_rdl,h_tsv,p_rdl,R1,R2,R3,L1,L2,L3,Cox,Csi,Rsi,rmse,scale_max,scale_min
114.72,10.25,3.47,86.65,58.89,1306.739482374191,8722.071272556996,3689.1314509075964,1605.841252069292,1732.9358648723628,37.223936533745565,79.89799351154457,86.27569503768896,0.07539588219143531,0.0015806738917292246,5.484451608820469,0.5617393162486083
364.31,10.64,3.88,86.4,41.13,1043.773474892863,5791.672364566749,3004.820178427563,999.956881760713,1034.814559669355,35.597106614931114,81.5619496022905,99.85853943267595,0.062007910536029553,0.0021946015793400703,4.050984745111223,0.5222750343923763
549.51,28.12,2.63,70.3,53.6,749.2364557635162,1783.2947469803441,1536.9565833525585,776.5225358438719,889.462472738991,17.139156719625202,164.96845381232478,106.75305956659565,0.05974718706968765,0.0031271689082498534,1.9854384504704172,0.3948910745752822
494.12,23.58,2.62,99.83,51.16,839.9226042852418,2408.8940980518287,1799.7721892683435,840.6250937257894,1017.4592414629565,18.82005833796045,141.93343869991418,105.14490559285011,0.058466425584292006,0.002183812828957556,2.2846646956552323,0.4765140330832147
169.52,28.06,2.42,85.56,54.72,1022.7303049495881,2726.3666641828254,2571.72926399071,978.4972426482468,1050.7751039811003,21.8379102837305,163.40599319451147,111.72142908264762,0.05846252326830994,0.0026493843013191943,2.1239557726118603,0.47674439899973475
284.2,23.2,2.49,56.43,42.12,1005.9299813313606,2531.610047238475,2577.3325775673684,775.7804769049433,940.174795627736,22.178816351018614,141.47030951478263,119.94603577025505,0.05527844225804169,0.0028890017969683437,2.0409407476673613,0.4863486293207178
402.18,24.32,3.7,96.08,45.99,613.5004936371696,1539.7715384237079,1811.4491461190778,743.9755224232991,808.6957601011308,26.352994079462565,148.0722413142242,118.63128532722598,0.05304000258327761,0.0036367832786247667,3.0825003830945423,0.581689223938835
253.25,18.32,2.83,52.15,53.97,980.1374324970052,3740.4200341646574,2499.962210689748,1073.6148406063094,1025.2165523251913,24.9268301275222,117.06732102298949,90.27352599488718,0.07370289982883726,0.004478980447787252,2.7696072845755566,0.6130964627790146
317.34,29.16,4.27,72.88,54.66,523.2874123849056,1034.8431495925067,1564.547932382724,782.0749284203681,437.28496742941087,25.52018742580635,170.66491165318044,111.27857570058029,0.05869539278113011,0.006470149314400921,2.031121044433828,0.5773701586275064
353.75,20.88,3.9,82.87,51.19,637.6297388289296,1956.6545101743,1853.6088735433166,890.6137617742751,769.5694672291074,27.620411224322584,129.92792378794041,101.95406059422191,0.061489561424465114,0.003728327735055202,3.2141225578840658,0.5828147284946807
573.62,29.08,2.03,64.12,57.56,955.5908082736962,2207.313436179563,1040.3845503592968,820.8171145724062,846.1211031220847,10.034553412824128,170.26045232035992,100.48096669990528,0.0639796605587461,0.003901126929594465,1.4559146211443144,0.23233521570288201
514.16,10.26,2.65,70.19,53.39,1543.6992185485724,8762.848449214998,3284.896329718524,1172.6244807328078,1645.500743469009,27.457359312799383,79.523867254795,81.29722185306301,0.07564290461249773,0.0016082990902073985,3.1966542444809085,0.5383084817882375
469.78,16.15,4.82,60.06,53.19,707.4036050429406,1568.3966577601789,1809.536601987472,950.1554869933367,289.538843995895,28.35332908051831,109.68237146862026,89.32886902315329,0.07053129623990002,0.0043302623340816925,1.456342891566272,0.5817783248044652
513.83,20.59,4.67,89.74,52.09,584.3442484509078,1232.477316605272,1565.599936472518,844.6978961991751,390.95765022348525,26.72720813245245,131.82497267068564,100.7394708433136,0.061058552988301845,0.004737410814066987,1.8877494343632097,0.5771378727889472
310.21,21.69,3.56,68.5,43.5,703.7536449968429,1972.328621666153,2102.5864864869864,789.091880296448,895.913879466739,27.94461937328184,134.544434699817,116.04522047922198,0.0555575009096851,0.003259085488600727,3.297146916178086,0.5843317872377385
462.58,22.47,2.06,55.61,59.02,1133.9219121061344,3185.9253862601017,1536.8817394383634,978.599191981048,945.9895024811556,12.763655826251787,138.1386964470954,87.87587360450618,0.07382790838002735,0.003357846583788399,1.7656625002015767,0.34358895174224724
223.91,24.26,2.76,84.47,58.69,870.1245308862455,2529.1718141701617,2183.2467090067416,1043.1322156339902,949.7336328272557,22.428421764458278,144.42108627225215,98.11145026016739,0.0645045737507074,0.002628428653541381,2.4818082012348714,0.5689977738550989
293.94,13.48,3.2,97.99,47.07,1051.8458538835162,5117.17009762046,2867.389038128157,1055.8109908652025,1406.3464536070417,30.444058841098876,94.28840354723114,96.17560151597965,0.0641396620611644,0.0013192176002012879,4.462310483722587,0.5418651359090207
273.04,29.93,4.8,74.01,41.92,1081.878695374516,613.7941704345459,1802.5118653429627,561.2770009325594,74.31092946336348,17.675138162508507,176.94719565654609,151.15824033102558,0.04520448879693898,0.009746382628472413,1.5537104016755963,0.29746271775018
582.79,20.9,4.86,61.72,58.15,983.8485645948559,727.4792366869781,1028.005919783218,888.3232859917505,64.42540282357969,14.446794257972654,133.8201727583307,90.1202158276612,0.07085935794387366,0.003875621949469888,1.5195655207295857,0.313459010928527
698.57,22.03,4.1,93.51,40.32,594.0531371338799,1317.0192279022308,1725.5066342093542,665.6271953776338,690.4529755493692,27.67487413405437,141.26710434608626,126.51964537805895,0.04937410253506711,0.004240396253450196,2.727881972358175,0.5628712016849189
