d_tsv,h_tsv,p_rdl,R1,R2,R3,L1,L2,L3,Cox,Csi,Rsi,rmse,scale_max,scale_min
9.1,99.44,40.88,664.5840467746307,342.80502538214006,1061.9874495861006,724.2670119266652,111.50230508799302,20.016660923362373,1221.4065210185975,282.0118017596611,0.02347191389827502,0.00982528048659113,1.5623899494974007,0.4756802096225679
10.76,78.15,58.73,542.5552161665026,251.8946744816759,906.6145323831748,975.563236175338,109.6782142914201,18.974824495907292,1412.2606422164679,237.89607501958574,0.027319817462198144,0.010047732764887275,1.5384576540349555,0.49298033015390513
12.96,92.33,44.68,438.372859117831,159.966681147249,837.963970499414,608.3975366326592,114.45702413889094,19.467768241785983,1572.496253448456,365.19550353376064,0.020021768285037194,0.017552022096272372,1.4821339186730664,0.4535088929156985
8.03,74.87,55.33,933.4841746527978,453.4960606374791,1243.5315490643038,1075.8206281665575,98.91982677869132,17.437546006312555,1179.406930107674,214.48713301302527,0.030034896403219657,0.00754652806741509,1.787632910369757,0.45890001880986914
12.52,89.58,53.17,436.126661472276,169.27314277746808,782.2292765644008,771.8304602803722,106.62651479215376,17.945717531958373,1750.7105083047952,291.2296250928349,0.02337650586953512,0.016928098972468695,1.5183394055022303,0.45154424525947845
8.61,91.45,52.31,762.3408445133299,380.41844805809995,1084.9227676852965,949.2444907444292,100.83528945354831,17.799587814457936,1196.2931880253386,224.7371289095567,0.028253295775875605,0.008031055119687257,1.6912277787636227,0.4850762333455198
10.2,98.75,59.09,544.8526868438904,258.07186518599764,873.9402821720353,953.5620650409443,105.93874556997734,18.164861087683875,1331.6234471857413,223.81997309470907,0.028092052566824115,0.008789708642286462,1.5514735633878476,0.5012539032796971
9.04,70.09,43.59,777.1397355475139,394.4413868107492,1173.7049150002535,826.5817870124431,108.90614942848404,19.82392037228545,1266.2855221885147,274.2858544704864,0.024589015625218372,0.009890194860218275,1.6503595092603391,0.4686653294374606
14.71,77.74,53.14,435.7708212440716,150.10082920410218,831.9199127715555,708.2605154597762,114.89395735074635,19.532633327758415,1778.7965373914144,350.0284421755886,0.021118940352537884,0.021173681866357198,1.5057877284458365,0.42724423857269034
6.22,81.95,55.41,611.1034146689796,1607.305008259738,1541.0038159846147,1175.4892652490405,436.50375279163876,40.30481254021774,992.22328051982,194.03605884011577,0.032956791572348966,0.006236685440921765,1.6728216791939832,0.49506700108069585
12.66,55.41,59.5,497.9615168592737,203.89790306519586,892.5027661430987,992.4413991705907,115.20074138262999,19.714780298220017,1809.6854676171713,274.87934533293867,0.025367553737776074,0.016148957436834123,1.523881935988723,0.45849169012261226
6.31,63.03,47.79,638.0706683332656,1704.7995167093889,1699.596786809737,1103.717479560148,588.8981308848878,43.373411162513115,1059.4043216052862,221.35188032665292,0.029974986767790392,0.006363925157832022,1.894673105579409,0.49899159685986566
5.94,62.9,49.48,668.889448670367,2390.778405757681,1812.4251699055826,1162.3277554678905,868.4749395564821,44.77780056099814,1031.5931893762036,213.46773483667624,0.031094733118267902,0.006183517497788671,2.5945891263165173,0.5013021240755772
8.81,54.47,46.54,917.6377669204122,449.3790065774941,1314.076723499618,948.3420705018481,107.61458332791359,19.671489408767084,1301.5155830338324,264.24451756621534,0.02594489694220784,0.00957808692168227,1.736432182658923,0.435318532965333
7.92,90.2,46.64,898.2513934403365,443.7402751078918,1221.1868520948892,900.7951075474789,99.15533502815128,17.637356225489288,1131.4530505657376,234.534640173401,0.02736865851264613,0.007919769591190052,1.7633914621195783,0.47034418498902797
